-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 03/29/2005 through 11/19/2018 
Location: Latitude  64.8354   Longitude -147.7767 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 299.14 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
64.83537,-147.77674,2005,03,29,              1.85
64.83537,-147.77674,2005,03,30,              3.59
64.83537,-147.77674,2005,03,31,              2.17
64.83537,-147.77674,2005,04,01,              3.30
64.83537,-147.77674,2005,04,02,              3.35
64.83537,-147.77674,2005,04,03,              2.75
64.83537,-147.77674,2005,04,04,              4.20
64.83537,-147.77674,2005,04,05,              2.42
64.83537,-147.77674,2005,04,06,              4.30
64.83537,-147.77674,2005,04,07,              4.05
64.83537,-147.77674,2005,04,08,              4.73
64.83537,-147.77674,2005,04,09,              4.27
64.83537,-147.77674,2005,04,10,              4.26
64.83537,-147.77674,2005,04,11,              4.71
64.83537,-147.77674,2005,04,12,              4.77
64.83537,-147.77674,2005,04,13,              5.07
64.83537,-147.77674,2005,04,14,              5.41
64.83537,-147.77674,2005,04,15,              5.12
64.83537,-147.77674,2005,04,16,              4.31
64.83537,-147.77674,2005,04,17,              4.06
64.83537,-147.77674,2005,04,18,              2.47
64.83537,-147.77674,2005,04,19,              3.55
64.83537,-147.77674,2005,04,20,              4.41
64.83537,-147.77674,2005,04,21,              4.50
64.83537,-147.77674,2005,04,22,              4.36
64.83537,-147.77674,2005,04,23,              4.71
64.83537,-147.77674,2005,04,24,              5.06
64.83537,-147.77674,2005,04,25,              5.36
64.83537,-147.77674,2005,04,26,              5.11
64.83537,-147.77674,2005,04,27,              6.06
64.83537,-147.77674,2005,04,28,              6.36
64.83537,-147.77674,2005,04,29,              6.48
64.83537,-147.77674,2005,04,30,              6.49
64.83537,-147.77674,2005,05,01,              6.76
64.83537,-147.77674,2005,05,02,              5.10
64.83537,-147.77674,2005,05,03,              4.09
64.83537,-147.77674,2005,05,04,              4.59
64.83537,-147.77674,2005,05,05,              4.73
64.83537,-147.77674,2005,05,06,              5.66
64.83537,-147.77674,2005,05,07,              6.56
64.83537,-147.77674,2005,05,08,              6.17
64.83537,-147.77674,2005,05,09,              6.05
64.83537,-147.77674,2005,05,10,              6.84
64.83537,-147.77674,2005,05,11,              6.47
64.83537,-147.77674,2005,05,12,              5.90
64.83537,-147.77674,2005,05,13,              5.22
64.83537,-147.77674,2005,05,14,              5.43
64.83537,-147.77674,2005,05,15,              1.24
64.83537,-147.77674,2005,05,16,              5.72
64.83537,-147.77674,2005,05,17,              1.84
64.83537,-147.77674,2005,05,18,              5.72
64.83537,-147.77674,2005,05,19,              5.96
64.83537,-147.77674,2005,05,20,              5.42
64.83537,-147.77674,2005,05,21,              3.32
64.83537,-147.77674,2005,05,22,              3.43
64.83537,-147.77674,2005,05,23,              4.77
64.83537,-147.77674,2005,05,24,              6.42
64.83537,-147.77674,2005,05,25,              7.10
64.83537,-147.77674,2005,05,26,              5.25
64.83537,-147.77674,2005,05,27,              5.88
64.83537,-147.77674,2005,05,28,              7.59
64.83537,-147.77674,2005,05,29,              6.91
64.83537,-147.77674,2005,05,30,              6.37
64.83537,-147.77674,2005,05,31,              0.54
64.83537,-147.77674,2005,06,01,              3.64
64.83537,-147.77674,2005,06,02,              4.70
64.83537,-147.77674,2005,06,03,              2.80
64.83537,-147.77674,2005,06,04,              3.26
64.83537,-147.77674,2005,06,05,              5.22
64.83537,-147.77674,2005,06,06,              6.97
64.83537,-147.77674,2005,06,07,              7.44
64.83537,-147.77674,2005,06,08,              6.99
64.83537,-147.77674,2005,06,09,              6.69
64.83537,-147.77674,2005,06,10,              6.95
64.83537,-147.77674,2005,06,11,              6.55
64.83537,-147.77674,2005,06,12,              5.45
64.83537,-147.77674,2005,06,13,              6.33
64.83537,-147.77674,2005,06,14,              7.69
