-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 08/29/2002 through 10/01/2018 
Location: Latitude  63.8828   Longitude -152.3122 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 344.0 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
63.88279,-152.31221,2002,08,29,              3.54
63.88279,-152.31221,2002,08,30,              3.41
63.88279,-152.31221,2002,08,31,              2.82
63.88279,-152.31221,2002,09,01,              3.44
63.88279,-152.31221,2002,09,02,              3.29
63.88279,-152.31221,2002,09,03,              4.65
63.88279,-152.31221,2002,09,04,              1.81
63.88279,-152.31221,2002,09,05,              1.37
63.88279,-152.31221,2002,09,06,              3.51
63.88279,-152.31221,2002,09,07,              2.88
63.88279,-152.31221,2002,09,08,              2.50
63.88279,-152.31221,2002,09,09,              2.91
63.88279,-152.31221,2002,09,10,              2.80
63.88279,-152.31221,2002,09,11,              1.85
63.88279,-152.31221,2002,09,12,              1.38
63.88279,-152.31221,2002,09,13,              1.68
63.88279,-152.31221,2002,09,14,              3.20
63.88279,-152.31221,2002,09,15,              2.36
63.88279,-152.31221,2002,09,16,              2.58
63.88279,-152.31221,2002,09,17,              2.81
63.88279,-152.31221,2002,09,18,              1.70
63.88279,-152.31221,2002,09,19,              1.73
63.88279,-152.31221,2002,09,20,              3.41
63.88279,-152.31221,2002,09,21,              3.47
63.88279,-152.31221,2002,09,22,              3.25
63.88279,-152.31221,2002,09,23,              2.07
63.88279,-152.31221,2002,09,24,              1.23
63.88279,-152.31221,2002,09,25,              2.99
63.88279,-152.31221,2002,09,26,              1.88
63.88279,-152.31221,2002,09,27,              1.78
63.88279,-152.31221,2002,09,28,              1.32
63.88279,-152.31221,2002,09,29,              1.24
63.88279,-152.31221,2002,09,30,              1.67
63.88279,-152.31221,2002,10,01,              1.70
63.88279,-152.31221,2002,10,02,              2.15
63.88279,-152.31221,2002,10,03,              1.84
63.88279,-152.31221,2002,10,04,              2.52
63.88279,-152.31221,2002,10,05,              2.34
63.88279,-152.31221,2002,10,06,              1.98
63.88279,-152.31221,2002,10,07,              0.83
63.88279,-152.31221,2002,10,08,              1.01
63.88279,-152.31221,2002,10,09,              1.13
63.88279,-152.31221,2002,10,10,              1.03
63.88279,-152.31221,2002,10,11,              1.22
63.88279,-152.31221,2002,10,12,              1.64
63.88279,-152.31221,2002,10,13,              0.97
63.88279,-152.31221,2002,10,14,              1.58
63.88279,-152.31221,2002,10,15,              0.93
63.88279,-152.31221,2002,10,16,              1.25
63.88279,-152.31221,2002,10,17,              1.49
63.88279,-152.31221,2002,10,18,              1.11
63.88279,-152.31221,2002,10,19,              0.53
63.88279,-152.31221,2002,10,20,              0.89
63.88279,-152.31221,2002,10,21,              1.03
63.88279,-152.31221,2002,10,22,              0.91
63.88279,-152.31221,2002,10,23,              0.96
63.88279,-152.31221,2002,10,24,              1.02
63.88279,-152.31221,2002,10,25,              0.65
63.88279,-152.31221,2002,10,26,              0.90
63.88279,-152.31221,2002,10,27,              1.08
63.88279,-152.31221,2002,10,28,              0.29
63.88279,-152.31221,2002,10,29,              0.47
63.88279,-152.31221,2002,10,30,              1.04
63.88279,-152.31221,2002,10,31,              0.65
63.88279,-152.31221,2002,11,01,              0.80
63.88279,-152.31221,2002,11,02,              0.55
63.88279,-152.31221,2002,11,03,              0.75
63.88279,-152.31221,2002,11,04,              0.44
63.88279,-152.31221,2002,11,05,              0.40
63.88279,-152.31221,2002,11,06,              0.39
63.88279,-152.31221,2002,11,07,              0.43
63.88279,-152.31221,2002,11,08,              0.62
63.88279,-152.31221,2002,11,09,              0.38
63.88279,-152.31221,2002,11,10,              0.39
63.88279,-152.31221,2002,11,11,              0.31
63.88279,-152.31221,2002,11,12,              0.31
63.88279,-152.31221,2002,11,13,              0.45
63.88279,-152.31221,2002,11,14,              0.36
63.88279,-152.31221,2002,11,15,              0.29
63.88279,-152.31221,2002,11,16,              0.38
63.88279,-152.31221,2002,11,17,              0.29
63.88279,-152.31221,2002,11,18,              0.35
63.88279,-152.31221,2002,11,19,              0.26
63.88279,-152.31221,2002,11,20,              0.18
63.88279,-152.31221,2002,11,21,              0.20
63.88279,-152.31221,2002,11,22,              0.16
63.88279,-152.31221,2002,11,23,              0.15
63.88279,-152.31221,2002,11,24,              0.25
63.88279,-152.31221,2002,11,25,              0.13
63.88279,-152.31221,2002,11,26,              0.17
63.88279,-152.31221,2002,11,27,              0.19
63.88279,-152.31221,2002,11,28,              0.15
63.88279,-152.31221,2002,11,29,              0.12
63.88279,-152.31221,2002,11,30,              0.13
63.88279,-152.31221,2002,12,01,              0.15
63.88279,-152.31221,2002,12,02,              0.08
63.88279,-152.31221,2002,12,03,              0.07
63.88279,-152.31221,2002,12,04,              0.07
63.88279,-152.31221,2002,12,05,              0.07
63.88279,-152.31221,2002,12,06,              0.07
63.88279,-152.31221,2002,12,07,              0.07
63.88279,-152.31221,2002,12,08,              0.08
63.88279,-152.31221,2002,12,09,              0.08
63.88279,-152.31221,2002,12,10,              0.05
63.88279,-152.31221,2002,12,11,              0.07
63.88279,-152.31221,2002,12,12,              0.07
63.88279,-152.31221,2002,12,13,              0.08
63.88279,-152.31221,2002,12,14,              0.07
